"","reg","N","Fem","agemean","agesd","memAccmean","memAccsd","memDmean","memDsd","encHitmean","encHitsd","encMissmean","encMisssd","retHitmean","retHitsd","retMissmean","retMisssd"
"1","acc",11,3,19.0106061418182,4.76906292901127,0.481239225891518,0.206650716541004,1.44174683425073,0.714453710560658,62.0909090909091,37.8746737159663,21.8181818181818,10.7593511125735,62.0909090909091,37.8746737159663,21.8181818181818,10.7593511125735
"2","dlPFC",27,9,18.7316195403704,4.21837118284502,0.498928216441182,0.217616844616568,1.53269369008078,0.768671852518204,51.6296296296296,28.2572633932045,20.962962962963,12.568218408355,51.6296296296296,28.2572633932045,20.962962962963,12.568218408355
"3","hip",9,3,19.3872157577778,5.59983834219518,0.502466924232145,0.233034663704249,1.53675009116018,0.799046756847677,59.7777777777778,35.9853365198166,24.3333333333333,13.2664991614216,59.7777777777778,35.9853365198166,24.3333333333333,13.2664991614216
"4","iTemp",19,9,19.2384490821053,5.06681151694397,0.484134795058093,0.199622518845095,1.43595934213235,0.684982475037944,46.2631578947368,18.5886527671025,19.6315789473684,12.8461430714773,46.2631578947368,18.5886527671025,19.6315789473684,12.8461430714773
"5","lTemp",32,13,18.5040949265625,4.63927289016231,0.512642702482355,0.20479109824663,1.5613801613468,0.719179626752658,47.59375,22.4655426117134,19.40625,12.0880089211342,47.59375,22.4655426117134,19.40625,12.0880089211342
"6","mtl",23,9,18.3547036891304,4.74385892488241,0.511120375719879,0.213530389773893,1.53709471955149,0.733881187347657,50.3478260869565,24.5201377269826,21.1739130434783,12.3643629175033,50.3478260869565,24.5201377269826,21.1739130434783,12.3643629175033
"7","pcc",11,5,17.5935944718182,3.50165640072099,0.545555866860142,0.188050731941032,1.63895930900346,0.658733773785016,62.4545454545455,36.5413837624238,16.7272727272727,8.95646033978724,62.4545454545455,36.5413837624238,16.7272727272727,8.95646033978724
"8","pPFC",8,3,20.19791250125,4.31519408733032,0.397739276618779,0.188855070726463,1.15649129097757,0.625377647236526,41.5,10.515294982616,21.625,6.36816860867953,41.5,10.515294982616,21.625,6.36816860867953
"9","vis",5,2,17.903963214,4.36238836700835,0.610639961908213,0.171088639010601,1.90517847006583,0.708857671912902,52.6,5.98331012066064,14.4,8.20365772079747,52.6,5.98331012066064,14.4,8.20365772079747
